hyp,src,label,p(Hallucination),hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens,hyp_lemmas,src_lemmas
Better to be late than never.,Better late than never.,Not Hallucination,0.5,better to be late than never,better late than never,['better to be late than never'],['better late than never'],"[['better', 'to', 'be', 'late', 'than', 'never']]","[['better', 'late', 'than', 'never']]","['good', 'to', 'be', 'late', 'than', 'never']","['well', 'late', 'than', 'never']"
Have you been sleepin '?,Have you slept with him?,Not Hallucination,0.5,have you been sleepin ,have you slept with him,['have you been sleepin'],['have you slept with him'],"[['have', 'you', 'been', 'sleepin']]","[['have', 'you', 'slept', 'with', 'him']]","['have', 'you', 'be', 'sleepin']","['have', 'you', 'sleep', 'with', 'he']"
I-I-I didn't want to wake you up.,I didn't want to wake you.,Not Hallucination,0.25,iii did not want to wake you up,i did not want to wake you,['iii did not want to wake you up'],['i did not want to wake you'],"[['iii', 'did', 'not', 'want', 'to', 'wake', 'you', 'up']]","[['i', 'did', 'not', 'want', 'to', 'wake', 'you']]","['iii', 'do', 'not', 'want', 'to', 'wake', 'you', 'up']","['I', 'do', 'not', 'want', 'to', 'wake', 'you']"
My enemy's enemy.,Enemy of my enemy.,Not Hallucination,0.25,my enemys enemy,enemy of my enemy,['my enemys enemy'],['enemy of my enemy'],"[['my', 'enemys', 'enemy']]","[['enemy', 'of', 'my', 'enemy']]","['my', 'enemy', 'enemy']","['enemy', 'of', 'my', 'enemy']"
"Yep, but what for?","Yeah, but why?",Not Hallucination,0.25,yep but what for,yeah but why,['yep but what for'],['yeah but why'],"[['yep', 'but', 'what', 'for']]","[['yeah', 'but', 'why']]","['yep', 'but', 'what', 'for']","['yeah', 'but', 'why']"
"- Thank you, Ida.","Thank you, Ida.",Not Hallucination,0.0, thank you ida,thank you ida,[' thank you ida'],['thank you ida'],"[['thank', 'you', 'ida']]","[['thank', 'you', 'ida']]","['thank', 'you', 'ida']","['thank', 'you', 'ida']"
She has a lot of friends.,She has a lot of friends.,Not Hallucination,0.0,she has a lot of friends,she has a lot of friends,['she has a lot of friends'],['she has a lot of friends'],"[['she', 'has', 'a', 'lot', 'of', 'friends']]","[['she', 'has', 'a', 'lot', 'of', 'friends']]","['she', 'have', 'a', 'lot', 'of', 'friend']","['she', 'have', 'a', 'lot', 'of', 'friend']"
"- Hello, matthew","Hello, Matthew.",Not Hallucination,0.25, hello matthew,hello matthew,[' hello matthew'],['hello matthew'],"[['hello', 'matthew']]","[['hello', 'matthew']]","['hello', 'matthew']","['hello', 'matthew']"
Where's he's from?,Where's he from?,Not Hallucination,0.25,where is he is from,where is he from,['where is he is from'],['where is he from'],"[['where', 'is', 'he', 'is', 'from']]","[['where', 'is', 'he', 'from']]","['where', 'be', 'he', 'be', 'from']","['where', 'be', 'he', 'from']"
"Helsinki is wonderful this time of year, isn't it?","Helsinki is wonderful this time of year, isn't it?",Not Hallucination,0.0,helsinki is wonderful this time of year is not it,helsinki is wonderful this time of year is not it,['helsinki is wonderful this time of year is not it'],['helsinki is wonderful this time of year is not it'],"[['helsinki', 'is', 'wonderful', 'this', 'time', 'of', 'year', 'is', 'not', 'it']]","[['helsinki', 'is', 'wonderful', 'this', 'time', 'of', 'year', 'is', 'not', 'it']]","['helsinki', 'be', 'wonderful', 'this', 'time', 'of', 'year', 'be', 'not', 'it']","['helsinki', 'be', 'wonderful', 'this', 'time', 'of', 'year', 'be', 'not', 'it']"
You killed my parent-teachers.,You killed my parents.,Hallucination,0.75,you killed my parentteachers,you killed my parents,['you killed my parentteachers'],['you killed my parents'],"[['you', 'killed', 'my', 'parentteachers']]","[['you', 'killed', 'my', 'parents']]","['you', 'kill', 'my', 'parentteacher']","['you', 'kill', 'my', 'parent']"
My name is Nejat Aksu.,I'm Nejat Aksu.,Not Hallucination,0.25,my name is nejat aksu,i am nejat aksu,['my name is nejat aksu'],['i am nejat aksu'],"[['my', 'name', 'is', 'nejat', 'aksu']]","[['i', 'am', 'nejat', 'aksu']]","['my', 'name', 'be', 'nejat', 'aksu']","['I', 'be', 'nejat', 'aksu']"
He's perpetrating.,He's evolving.,Hallucination,0.75,he is perpetrating,he is evolving,['he is perpetrating'],['he is evolving'],"[['he', 'is', 'perpetrating']]","[['he', 'is', 'evolving']]","['he', 'be', 'perpetrate']","['he', 'be', 'evolve']"
Y'all ain't hungry?,You're not hungry?,Not Hallucination,0.25,you all are not hungry,you are not hungry,['you all are not hungry'],['you are not hungry'],"[['you', 'all', 'are', 'not', 'hungry']]","[['you', 'are', 'not', 'hungry']]","['you', 'all', 'be', 'not', 'hungry']","['you', 'be', 'not', 'hungry']"
Whose idea was that it?,Whose idea was it?,Not Hallucination,0.5,whose idea was that it,whose idea was it,['whose idea was that it'],['whose idea was it'],"[['whose', 'idea', 'was', 'that', 'it']]","[['whose', 'idea', 'was', 'it']]","['whose', 'idea', 'be', 'that', 'it']","['whose', 'idea', 'be', 'it']"
About half-hour ago.,About half an hour ago.,Not Hallucination,0.25,about halfhour ago,about half an hour ago,['about halfhour ago'],['about half an hour ago'],"[['about', 'halfhour', 'ago']]","[['about', 'half', 'an', 'hour', 'ago']]","['about', 'halfhour', 'ago']","['about', 'half', 'a', 'hour', 'ago']"
We got a match-up.,We got a match.,Not Hallucination,0.25,we got a matchup,we got a match,['we got a matchup'],['we got a match'],"[['we', 'got', 'a', 'matchup']]","[['we', 'got', 'a', 'match']]","['we', 'get', 'a', 'matchup']","['we', 'get', 'a', 'match']"
"- Thank you, Jer.","Thank you, Jer.",Not Hallucination,0.0, thank you jer,thank you jer,[' thank you jer'],['thank you jer'],"[['thank', 'you', 'jer']]","[['thank', 'you', 'jer']]","['thank', 'you', 'jer']","['thank', 'you', 'jer']"
I've seen ya.,I've seen them.,Not Hallucination,0.5,i have seen ya,i have seen them,['i have seen ya'],['i have seen them'],"[['i', 'have', 'seen', 'ya']]","[['i', 'have', 'seen', 'them']]","['I', 'have', 'see', 'you']","['I', 'have', 'see', 'they']"
Two o'clock.,2: 00.,Not Hallucination,0.0,two of the clock,2 00,['two of the clock'],['2 00'],"[['two', 'of', 'the', 'clock']]","[['2', '00']]","['two', 'of', 'the', 'clock']","['2', '00']"
- Fresh?,Are you new?,Not Hallucination,0.25, fresh,are you new,[' fresh'],['are you new'],[['fresh']],"[['are', 'you', 'new']]",['fresh'],"['be', 'you', 'new']"
"Silly, isn't it?","Silly, isn't it?",Not Hallucination,0.0,silly is not it,silly is not it,['silly is not it'],['silly is not it'],"[['silly', 'is', 'not', 'it']]","[['silly', 'is', 'not', 'it']]","['silly', 'be', 'not', 'it']","['silly', 'be', 'not', 'it']"
You got a pen-pen?,Got a pen?,Not Hallucination,0.5,you got a penpen,got a pen,['you got a penpen'],['got a pen'],"[['you', 'got', 'a', 'penpen']]","[['got', 'a', 'pen']]","['you', 'get', 'a', 'penpen']","['get', 'a', 'pen']"
It's not changing anything.,It changes nothing.,Not Hallucination,0.5,it is not changing anything,it changes nothing,['it is not changing anything'],['it changes nothing'],"[['it', 'is', 'not', 'changing', 'anything']]","[['it', 'changes', 'nothing']]","['it', 'be', 'not', 'change', 'anything']","['it', 'change', 'nothing']"
My turn?,Is it my turn?,Not Hallucination,0.25,my turn,is it my turn,['my turn'],['is it my turn'],"[['my', 'turn']]","[['is', 'it', 'my', 'turn']]","['my', 'turn']","['be', 'it', 'my', 'turn']"
I've been doing all that I can.,I've done all I can.,Not Hallucination,0.5,i have been doing all that i can,i have done all i can,['i have been doing all that i can'],['i have done all i can'],"[['i', 'have', 'been', 'doing', 'all', 'that', 'i', 'can']]","[['i', 'have', 'done', 'all', 'i', 'can']]","['I', 'have', 'be', 'do', 'all', 'that', 'I', 'can']","['I', 'have', 'do', 'all', 'I', 'can']"
I've got a fiancé,I've got a boyfriend.,Hallucination,0.75,i have got a fiancé,i have got a boyfriend,['i have got a fiancé'],['i have got a boyfriend'],"[['i', 'have', 'got', 'a', 'fiancé']]","[['i', 'have', 'got', 'a', 'boyfriend']]","['I', 'have', 'get', 'a', 'fiancé']","['I', 'have', 'get', 'a', 'boyfriend']"
They do not know.,They don't know anything.,Not Hallucination,0.25,they do not know,they do not know anything,['they do not know'],['they do not know anything'],"[['they', 'do', 'not', 'know']]","[['they', 'do', 'not', 'know', 'anything']]","['they', 'do', 'not', 'know']","['they', 'do', 'not', 'know', 'anything']"
His name is jason.,His name's Jason.,Not Hallucination,0.0,his name is jason,his names jason,['his name is jason'],['his names jason'],"[['his', 'name', 'is', 'jason']]","[['his', 'names', 'jason']]","['his', 'name', 'be', 'jason']","['his', 'name', 'jason']"
I'll be askin 'them questions.,I'll ask the questions.,Hallucination,0.75,i will be askin them questions,i will ask the questions,['i will be askin them questions'],['i will ask the questions'],"[['i', 'will', 'be', 'askin', 'them', 'questions']]","[['i', 'will', 'ask', 'the', 'questions']]","['I', 'will', 'be', 'askin', 'they', 'question']","['I', 'will', 'ask', 'the', 'question']"
I'm entrapped.,I'm trapped.,Hallucination,0.75,i am entrapped,i am trapped,['i am entrapped'],['i am trapped'],"[['i', 'am', 'entrapped']]","[['i', 'am', 'trapped']]","['I', 'be', 'entrap']","['I', 'be', 'trap']"
Another single day.,Just one more day.,Not Hallucination,0.25,another single day,just one more day,['another single day'],['just one more day'],"[['another', 'single', 'day']]","[['just', 'one', 'more', 'day']]","['another', 'single', 'day']","['just', 'one', 'more', 'day']"
Just two.,Just two.,Not Hallucination,0.0,just two,just two,['just two'],['just two'],"[['just', 'two']]","[['just', 'two']]","['just', 'two']","['just', 'two']"
I'm goin 'to change.,I'm gonna go change.,Not Hallucination,0.25,i am goin to change,i am going to go change,['i am goin to change'],['i am going to go change'],"[['i', 'am', 'goin', 'to', 'change']]","[['i', 'am', 'going', 'to', 'go', 'change']]","['I', 'be', 'goin', 'to', 'change']","['I', 'be', 'go', 'to', 'go', 'change']"
"Can I talk to him, please?",Can I speak to him?,Not Hallucination,0.25,can i talk to him please,can i speak to him,['can i talk to him please'],['can i speak to him'],"[['can', 'i', 'talk', 'to', 'him', 'please']]","[['can', 'i', 'speak', 'to', 'him']]","['can', 'I', 'talk', 'to', 'he', 'please']","['can', 'I', 'speak', 'to', 'he']"
That's what I'd do.,That'd be.,Hallucination,1.0,that is what i would do,that would be,['that is what i would do'],['that would be'],"[['that', 'is', 'what', 'i', 'would', 'do']]","[['that', 'would', 'be']]","['that', 'be', 'what', 'I', 'would', 'do']","['that', 'would', 'be']"
I didn't mean to frighten you.,I did not mean to scare you.,Not Hallucination,0.25,i did not mean to frighten you,i did not mean to scare you,['i did not mean to frighten you'],['i did not mean to scare you'],"[['i', 'did', 'not', 'mean', 'to', 'frighten', 'you']]","[['i', 'did', 'not', 'mean', 'to', 'scare', 'you']]","['I', 'do', 'not', 'mean', 'to', 'frighten', 'you']","['I', 'do', 'not', 'mean', 'to', 'scare', 'you']"
You're not mad '?,You're not angry?,Not Hallucination,0.25,you are not mad ,you are not angry,['you are not mad'],['you are not angry'],"[['you', 'are', 'not', 'mad']]","[['you', 'are', 'not', 'angry']]","['you', 'be', 'not', 'mad']","['you', 'be', 'not', 'angry']"
I'm just like you.,I'm just like you.,Not Hallucination,0.0,i am just like you,i am just like you,['i am just like you'],['i am just like you'],"[['i', 'am', 'just', 'like', 'you']]","[['i', 'am', 'just', 'like', 'you']]","['I', 'be', 'just', 'like', 'you']","['I', 'be', 'just', 'like', 'you']"
We're frees.,We're free.,Hallucination,1.0,we are frees,we are free,['we are frees'],['we are free'],"[['we', 'are', 'frees']]","[['we', 'are', 'free']]","['we', 'be', 'free']","['we', 'be', 'free']"
"Thank you, norman, -","Thanks, Norman,",Not Hallucination,0.25,thank you norman ,thanks norman,['thank you norman'],['thanks norman'],"[['thank', 'you', 'norman']]","[['thanks', 'norman']]","['thank', 'you', 'norman']","['thanks', 'norman']"
Twenty-seconds.,20 seconds.,Hallucination,1.0,twentyseconds,20 seconds,['twentyseconds'],['20 seconds'],[['twentyseconds']],"[['20', 'seconds']]",['twentysecond'],"['20', 'second']"
My name's parker- -,My name's Parker.,Not Hallucination,0.25,my names parker ,my names parker,['my names parker'],['my names parker'],"[['my', 'names', 'parker']]","[['my', 'names', 'parker']]","['my', 'name', 'parker']","['my', 'name', 'parker']"
Come cody.,"Come on, Cody.",Hallucination,1.0,come cody,come on cody,['come cody'],['come on cody'],"[['come', 'cody']]","[['come', 'on', 'cody']]","['come', 'cody']","['come', 'on', 'cody']"
nephews.,My nephew.,Hallucination,1.0,nephews,my nephew,['nephews'],['my nephew'],[['nephews']],"[['my', 'nephew']]",['nephew'],"['my', 'nephew']"
Thanks for dining.,Thank you for dinner.,Hallucination,1.0,thanks for dining,thank you for dinner,['thanks for dining'],['thank you for dinner'],"[['thanks', 'for', 'dining']]","[['thank', 'you', 'for', 'dinner']]","['thanks', 'for', 'dining']","['thank', 'you', 'for', 'dinner']"
Twenty-five years?,15?,Hallucination,1.0,twentyfive years,15,['twentyfive years'],['15'],"[['twentyfive', 'years']]",[['15']],"['twentyfive', 'year']",['15']
You look priceless.,You look incredible.,Hallucination,1.0,you look priceless,you look incredible,['you look priceless'],['you look incredible'],"[['you', 'look', 'priceless']]","[['you', 'look', 'incredible']]","['you', 'look', 'priceless']","['you', 'look', 'incredible']"
"Russians, Russians, Russians",Russians.,Hallucination,0.67,russians russians russians,russians,['russians russians russians'],['russians'],"[['russians', 'russians', 'russians']]",[['russians']],"['russian', 'russian', 'russian']",['russian']
"Hey, carl.","Hey, Carl.",Not Hallucination,0.0,hey carl,hey carl,['hey carl'],['hey carl'],"[['hey', 'carl']]","[['hey', 'carl']]","['hey', 'carl']","['hey', 'carl']"
lt's Joe.,It's Joe.,Not Hallucination,0.0,lts joe,it is joe,['lts joe'],['it is joe'],"[['lts', 'joe']]","[['it', 'is', 'joe']]","['lt', 'Noe']","['it', 'be', 'joe']"
An ounce?,An hour?,Hallucination,1.0,an ounce,an hour,['an ounce'],['an hour'],"[['an', 'ounce']]","[['an', 'hour']]","['a', 'ounce']","['a', 'hour']"
When were you planning on telling?,When were you going to tell me?,Not Hallucination,0.25,when were you planning on telling,when were you going to tell me,['when were you planning on telling'],['when were you going to tell me'],"[['when', 'were', 'you', 'planning', 'on', 'telling']]","[['when', 'were', 'you', 'going', 'to', 'tell', 'me']]","['when', 'be', 'you', 'plan', 'on', 'tell']","['when', 'be', 'you', 'go', 'to', 'tell', 'I']"
So thank you for your cooperation.,So thank you for listening.,Hallucination,1.0,so thank you for your cooperation,so thank you for listening,['so thank you for your cooperation'],['so thank you for listening'],"[['so', 'thank', 'you', 'for', 'your', 'cooperation']]","[['so', 'thank', 'you', 'for', 'listening']]","['so', 'thank', 'you', 'for', 'your', 'cooperation']","['so', 'thank', 'you', 'for', 'listen']"
"- HE'S A MURDERER, MAN.",He's a killer.,Hallucination,1.0, he is a murderer man,he is a killer,[' he is a murderer man'],['he is a killer'],"[['he', 'is', 'a', 'murderer', 'man']]","[['he', 'is', 'a', 'killer']]","['he', 'be', 'a', 'murderer', 'man']","['he', 'be', 'a', 'killer']"
"Fill it, fill it.",Fill it.,Not Hallucination,0.25,fill it fill it,fill it,['fill it fill it'],['fill it'],"[['fill', 'it', 'fill', 'it']]","[['fill', 'it']]","['fill', 'it', 'fill', 'it']","['fill', 'it']"
"What's your name, please, sir?","What's your name, sir?",Not Hallucination,0.25,what is your name please sir,what is your name sir,['what is your name please sir'],['what is your name sir'],"[['what', 'is', 'your', 'name', 'please', 'sir']]","[['what', 'is', 'your', 'name', 'sir']]","['what', 'be', 'your', 'name', 'please', 'sir']","['what', 'be', 'your', 'name', 'sir']"
You're an angelie.,You're an angel.,Hallucination,1.0,you are an angelie,you are an angel,['you are an angelie'],['you are an angel'],"[['you', 'are', 'an', 'angelie']]","[['you', 'are', 'an', 'angel']]","['you', 'be', 'a', 'angelie']","['you', 'be', 'a', 'angel']"
Here and over here.,Here and here.,Hallucination,1.0,here and over here,here and here,['here and over here'],['here and here'],"[['here', 'and', 'over', 'here']]","[['here', 'and', 'here']]","['here', 'and', 'over', 'here']","['here', 'and', 'here']"
Steady the door.,Hold the door.,Hallucination,1.0,steady the door,hold the door,['steady the door'],['hold the door'],"[['steady', 'the', 'door']]","[['hold', 'the', 'door']]","['steady', 'the', 'door']","['hold', 'the', 'door']"
Proof?,Evidence?,Not Hallucination,0.25,proof,evidence,['proof'],['evidence'],[['proof']],[['evidence']],['proof'],['evidence']
One way or the other.,One way or another.,Not Hallucination,0.25,one way or the other,one way or another,['one way or the other'],['one way or another'],"[['one', 'way', 'or', 'the', 'other']]","[['one', 'way', 'or', 'another']]","['one', 'way', 'or', 'the', 'other']","['one', 'way', 'or', 'another']"
"THANK YOU, Gibbs.","Thank you, Gibbs.",Not Hallucination,0.25,thank you gibbs,thank you gibbs,['thank you gibbs'],['thank you gibbs'],"[['thank', 'you', 'gibbs']]","[['thank', 'you', 'gibbs']]","['thank', 'you', 'Gibb']","['thank', 'you', 'Gibb']"
Maybe you can help me- -,Maybe you can help me.,Hallucination,1.0,maybe you can help me ,maybe you can help me,['maybe you can help me'],['maybe you can help me'],"[['maybe', 'you', 'can', 'help', 'me']]","[['maybe', 'you', 'can', 'help', 'me']]","['maybe', 'you', 'can', 'help', 'I']","['maybe', 'you', 'can', 'help', 'I']"
That's my money..,That's my money.,Not Hallucination,0.25,that is my money,that is my money,['that is my money'],['that is my money'],"[['that', 'is', 'my', 'money']]","[['that', 'is', 'my', 'money']]","['that', 'be', 'my', 'money']","['that', 'be', 'my', 'money']"
I-I'd never hurt you.,I'd never hurt you.,Not Hallucination,0.25,ii would never hurt you,i would never hurt you,['ii would never hurt you'],['i would never hurt you'],"[['ii', 'would', 'never', 'hurt', 'you']]","[['i', 'would', 'never', 'hurt', 'you']]","['ii', 'would', 'never', 'hurt', 'you']","['I', 'would', 'never', 'hurt', 'you']"
You're going to be late.,You're going to be late.,Not Hallucination,0.0,you are going to be late,you are going to be late,['you are going to be late'],['you are going to be late'],"[['you', 'are', 'going', 'to', 'be', 'late']]","[['you', 'are', 'going', 'to', 'be', 'late']]","['you', 'be', 'go', 'to', 'be', 'late']","['you', 'be', 'go', 'to', 'be', 'late']"
I'm not ⁇ .,I'm not judging.,Not Hallucination,0.5,i am not  ,i am not judging,['i am not'],['i am not judging'],"[['i', 'am', 'not']]","[['i', 'am', 'not', 'judging']]","['I', 'be', 'not']","['I', 'be', 'not', 'judge']"
Let's them in.,Let 'em in.,Hallucination,1.0,let us them in,let them in,['let us them in'],['let them in'],"[['let', 'us', 'them', 'in']]","[['let', 'them', 'in']]","['let', 'we', 'they', 'in']","['let', 'they', 'in']"
It's a very important ⁇ .,A very important crystal.,Not Hallucination,0.5,it is a very important  ,a very important crystal,['it is a very important'],['a very important crystal'],"[['it', 'is', 'a', 'very', 'important']]","[['a', 'very', 'important', 'crystal']]","['it', 'be', 'a', 'very', 'important']","['a', 'very', 'important', 'crystal']"
"Hello, frankie.","Hello, Frankie.",Not Hallucination,0.25,hello frankie,hello frankie,['hello frankie'],['hello frankie'],"[['hello', 'frankie']]","[['hello', 'frankie']]","['hello', 'frankie']","['hello', 'frankie']"
"Well, that doesn't necessarily prove anything.",That doesn't prove anything.,Hallucination,0.75,well that does not necessarily prove anything,that does not prove anything,['well that does not necessarily prove anything'],['that does not prove anything'],"[['well', 'that', 'does', 'not', 'necessarily', 'prove', 'anything']]","[['that', 'does', 'not', 'prove', 'anything']]","['well', 'that', 'do', 'not', 'necessarily', 'prove', 'anything']","['that', 'do', 'not', 'prove', 'anything']"
"Right here, right here right now.","Right here, right now.",Not Hallucination,0.33,right here right here right now,right here right now,['right here right here right now'],['right here right now'],"[['right', 'here', 'right', 'here', 'right', 'now']]","[['right', 'here', 'right', 'now']]","['right', 'here', 'right', 'here', 'right', 'now']","['right', 'here', 'right', 'now']"
The Force.,The Force.,Not Hallucination,0.0,the force,the force,['the force'],['the force'],"[['the', 'force']]","[['the', 'force']]","['the', 'force']","['the', 'force']"
You're a murder-man.,You're a murderer.,Hallucination,1.0,you are a murderman,you are a murderer,['you are a murderman'],['you are a murderer'],"[['you', 'are', 'a', 'murderman']]","[['you', 'are', 'a', 'murderer']]","['you', 'be', 'a', 'murderman']","['you', 'be', 'a', 'murderer']"
We're jammed up.,We're jammed up.,Not Hallucination,0.0,we are jammed up,we are jammed up,['we are jammed up'],['we are jammed up'],"[['we', 'are', 'jammed', 'up']]","[['we', 'are', 'jammed', 'up']]","['we', 'be', 'jam', 'up']","['we', 'be', 'jam', 'up']"
You'll have to thank me later.,Thank me later.,Hallucination,1.0,you will have to thank me later,thank me later,['you will have to thank me later'],['thank me later'],"[['you', 'will', 'have', 'to', 'thank', 'me', 'later']]","[['thank', 'me', 'later']]","['you', 'will', 'have', 'to', 'thank', 'I', 'late']","['thank', 'I', 'late']"
- ⁇ 's all over.,Interview's over.,Hallucination,1.0,  s all over,interviews over,['  s all over'],['interviews over'],"[['s', 'all', 'over']]","[['interviews', 'over']]","['be', 'all', 'over']","['interview', 'over']"
We will help you.,We're going to help you.,Not Hallucination,0.25,we will help you,we are going to help you,['we will help you'],['we are going to help you'],"[['we', 'will', 'help', 'you']]","[['we', 'are', 'going', 'to', 'help', 'you']]","['we', 'will', 'help', 'you']","['we', 'be', 'go', 'to', 'help', 'you']"
I blacked out.,I blacked out.,Not Hallucination,0.0,i blacked out,i blacked out,['i blacked out'],['i blacked out'],"[['i', 'blacked', 'out']]","[['i', 'blacked', 'out']]","['I', 'black', 'out']","['I', 'black', 'out']"
I'm lookin 'at you.,I'm looking at you.,Not Hallucination,0.5,i am lookin at you,i am looking at you,['i am lookin at you'],['i am looking at you'],"[['i', 'am', 'lookin', 'at', 'you']]","[['i', 'am', 'looking', 'at', 'you']]","['I', 'be', 'lookin', 'at', 'you']","['I', 'be', 'look', 'at', 'you']"
What you gonna tell her?,What are you gonna tell her?,Hallucination,1.0,what you going to tell her,what are you going to tell her,['what you going to tell her'],['what are you going to tell her'],"[['what', 'you', 'going', 'to', 'tell', 'her']]","[['what', 'are', 'you', 'going', 'to', 'tell', 'her']]","['what', 'you', 'go', 'to', 'tell', 'her']","['what', 'be', 'you', 'go', 'to', 'tell', 'her']"
- Everything's been altered.,Everything's changed.,Hallucination,1.0, everythings been altered,everythings changed,[' everythings been altered'],['everythings changed'],"[['everythings', 'been', 'altered']]","[['everythings', 'changed']]","['everythings', 'be', 'alter']","['everythings', 'change']"
"Look, y'all.","Look, everybody.",Hallucination,1.0,look you all,look everybody,['look you all'],['look everybody'],"[['look', 'you', 'all']]","[['look', 'everybody']]","['look', 'you', 'all']","['look', 'everybody']"
"Hail, David.","Hellο, David.",Hallucination,1.0,hail david,hellο david,['hail david'],['hellο david'],"[['hail', 'david']]","[['hellο', 'david']]","['hail', 'david']","['hell', 'ο', 'david']"
Any call-backs?,Any calls?,Hallucination,1.0,any callbacks,any calls,['any callbacks'],['any calls'],"[['any', 'callbacks']]","[['any', 'calls']]","['any', 'callback']","['any', 'call']"
I-I can't see anyone.,I can't see anyone.,Not Hallucination,0.25,ii cannot see anyone,i cannot see anyone,['ii cannot see anyone'],['i cannot see anyone'],"[['ii', 'can', 'not', 'see', 'anyone']]","[['i', 'can', 'not', 'see', 'anyone']]","['ii', 'can', 'not', 'see', 'anyone']","['I', 'can', 'not', 'see', 'anyone']"
They're closing in on ⁇ .,They're closing.,Hallucination,1.0,they are closing in on  ,they are closing,['they are closing in on'],['they are closing'],"[['they', 'are', 'closing', 'in', 'on']]","[['they', 'are', 'closing']]","['they', 'be', 'close', 'in', 'on']","['they', 'be', 'close']"
- Birds.,Birds.,Not Hallucination,0.0, birds,birds,[' birds'],['birds'],[['birds']],[['birds']],['bird'],['bird']
Somebody's hurt?,Was anybody hurt?,Hallucination,1.0,somebody is hurt,was anybody hurt,['somebody is hurt'],['was anybody hurt'],"[['somebody', 'is', 'hurt']]","[['was', 'anybody', 'hurt']]","['somebody', 'be', 'hurt']","['be', 'anybody', 'hurt']"
She's scared..,She's afraid.,Hallucination,1.0,she is scared,she is afraid,['she is scared'],['she is afraid'],"[['she', 'is', 'scared']]","[['she', 'is', 'afraid']]","['she', 'be', 'scared']","['she', 'be', 'afraid']"
"Babe, I'm home.","Darling, I'm home.",Not Hallucination,0.25,babe i am home,darling i am home,['babe i am home'],['darling i am home'],"[['babe', 'i', 'am', 'home']]","[['darling', 'i', 'am', 'home']]","['babe', 'I', 'be', 'home']","['darling', 'I', 'be', 'home']"
We're alive..,We're alive.,Not Hallucination,0.25,we are alive,we are alive,['we are alive'],['we are alive'],"[['we', 'are', 'alive']]","[['we', 'are', 'alive']]","['we', 'be', 'alive']","['we', 'be', 'alive']"
Leave me right here.,Just leave me here.,Not Hallucination,0.5,leave me right here,just leave me here,['leave me right here'],['just leave me here'],"[['leave', 'me', 'right', 'here']]","[['just', 'leave', 'me', 'here']]","['leave', 'I', 'right', 'here']","['just', 'leave', 'I', 'here']"
Perfectly normal.,Perfectly normal.,Not Hallucination,0.0,perfectly normal,perfectly normal,['perfectly normal'],['perfectly normal'],"[['perfectly', 'normal']]","[['perfectly', 'normal']]","['perfectly', 'normal']","['perfectly', 'normal']"
" ⁇ , yeah.","Sometimes, yeah.",Hallucination,1.0,   yeah,sometimes yeah,['   yeah'],['sometimes yeah'],[['yeah']],"[['sometimes', 'yeah']]",['yeah'],"['sometimes', 'yeah']"
She's not replying.,She's not answering.,Hallucination,1.0,she is not replying,she is not answering,['she is not replying'],['she is not answering'],"[['she', 'is', 'not', 'replying']]","[['she', 'is', 'not', 'answering']]","['she', 'be', 'not', 'reply']","['she', 'be', 'not', 'answer']"
"Don't wait for me, okay?",Don't wait for me.,Not Hallucination,0.33,do not wait for me okay,do not wait for me,['do not wait for me okay'],['do not wait for me'],"[['do', 'not', 'wait', 'for', 'me', 'okay']]","[['do', 'not', 'wait', 'for', 'me']]","['do', 'not', 'wait', 'for', 'I', 'okay']","['do', 'not', 'wait', 'for', 'I']"
Loved you more.,I love you more.,Hallucination,1.0,loved you more,i love you more,['loved you more'],['i love you more'],"[['loved', 'you', 'more']]","[['i', 'love', 'you', 'more']]","['love', 'you', 'more']","['I', 'love', 'you', 'more']"
Won't be easy.,It's not gonna be easy.,Not Hallucination,0.33,will not be easy,it is not going to be easy,['will not be easy'],['it is not going to be easy'],"[['will', 'not', 'be', 'easy']]","[['it', 'is', 'not', 'going', 'to', 'be', 'easy']]","['will', 'not', 'be', 'easy']","['it', 'be', 'not', 'go', 'to', 'be', 'easy']"
I don't even know where to begin.,I don't even know where to begin.,Not Hallucination,0.0,i do not even know where to begin,i do not even know where to begin,['i do not even know where to begin'],['i do not even know where to begin'],"[['i', 'do', 'not', 'even', 'know', 'where', 'to', 'begin']]","[['i', 'do', 'not', 'even', 'know', 'where', 'to', 'begin']]","['I', 'do', 'not', 'even', 'know', 'where', 'to', 'begin']","['I', 'do', 'not', 'even', 'know', 'where', 'to', 'begin']"
- He's going to make it?,He gonna make it?,Hallucination,1.0, he is going to make it,he going to make it,[' he is going to make it'],['he going to make it'],"[['he', 'is', 'going', 'to', 'make', 'it']]","[['he', 'going', 'to', 'make', 'it']]","['he', 'be', 'go', 'to', 'make', 'it']","['he', 'go', 'to', 'make', 'it']"
We're getting married.,We get married.,Hallucination,1.0,we are getting married,we get married,['we are getting married'],['we get married'],"[['we', 'are', 'getting', 'married']]","[['we', 'get', 'married']]","['we', 'be', 'get', 'married']","['we', 'get', 'marry']"
