hyp,src,label,hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens
He's not a sorce.,He's not a soldier.,Hallucination,he is not a sorce,he is not a soldier,['he is not a sorce'],['he is not a soldier'],"[['he', 'is', 'not', 'a', 'sorce']]","[['he', 'is', 'not', 'a', 'soldier']]"
You going to shoot me?,You going to shoot me?,Not Hallucination,you going to shoot me,you going to shoot me,['you going to shoot me'],['you going to shoot me'],"[['you', 'going', 'to', 'shoot', 'me']]","[['you', 'going', 'to', 'shoot', 'me']]"
Couple of hours.,A couple hours.,Hallucination,couple of hours,a couple hours,['couple of hours'],['a couple hours'],"[['couple', 'of', 'hours']]","[['a', 'couple', 'hours']]"
Them aren't mine.,Those are not mine.,Hallucination,them are not mine,those are not mine,['them are not mine'],['those are not mine'],"[['them', 'are', 'not', 'mine']]","[['those', 'are', 'not', 'mine']]"
We're dead..,We're dead.,Hallucination,we are dead,we are dead,['we are dead'],['we are dead'],"[['we', 'are', 'dead']]","[['we', 'are', 'dead']]"
I ain't all right now.,I'm not all right.,Hallucination,i are not all right now,i am not all right,['i are not all right now'],['i am not all right'],"[['i', 'are', 'not', 'all', 'right', 'now']]","[['i', 'am', 'not', 'all', 'right']]"
"I just want to see you happy, that's all I can do.",I just wanna see you happy.,Hallucination,i just want to see you happy that is all i can do,i just want to see you happy,['i just want to see you happy that is all i can do'],['i just want to see you happy'],"[['i', 'just', 'want', 'to', 'see', 'you', 'happy', 'that', 'is', 'all', 'i', 'can', 'do']]","[['i', 'just', 'want', 'to', 'see', 'you', 'happy']]"
"Well, what's the time, now?",What's the time now?,Hallucination,well what is the time now,what is the time now,['well what is the time now'],['what is the time now'],"[['well', 'what', 'is', 'the', 'time', 'now']]","[['what', 'is', 'the', 'time', 'now']]"
Get your seat belt on.,Get your seat belt on.,Not Hallucination,get your seat belt on,get your seat belt on,['get your seat belt on'],['get your seat belt on'],"[['get', 'your', 'seat', 'belt', 'on']]","[['get', 'your', 'seat', 'belt', 'on']]"
"Story of my life, man.",Story of my life.,Hallucination,story of my life man,story of my life,['story of my life man'],['story of my life'],"[['story', 'of', 'my', 'life', 'man']]","[['story', 'of', 'my', 'life']]"
"Um, I'll see you in the morning?",I'll see you tomorrow?,Hallucination,um i will see you in the morning,i will see you tomorrow,['um i will see you in the morning'],['i will see you tomorrow'],"[['um', 'i', 'will', 'see', 'you', 'in', 'the', 'morning']]","[['i', 'will', 'see', 'you', 'tomorrow']]"
"Thank you, Penn.","Thank you, Penny.",Hallucination,thank you penn,thank you penny,['thank you penn'],['thank you penny'],"[['thank', 'you', 'penn']]","[['thank', 'you', 'penny']]"
Where's nate at?,Where's Nate?,Not Hallucination,where is nate at,where is nate,['where is nate at'],['where is nate'],"[['where', 'is', 'nate', 'at']]","[['where', 'is', 'nate']]"
I ain't gonna come with you.,I'm not coming with you.,Not Hallucination,i are not going to come with you,i am not coming with you,['i are not going to come with you'],['i am not coming with you'],"[['i', 'are', 'not', 'going', 'to', 'come', 'with', 'you']]","[['i', 'am', 'not', 'coming', 'with', 'you']]"
I'd like to be here with you.,I wanna be with you.,Not Hallucination,i would like to be here with you,i want to be with you,['i would like to be here with you'],['i want to be with you'],"[['i', 'would', 'like', 'to', 'be', 'here', 'with', 'you']]","[['i', 'want', 'to', 'be', 'with', 'you']]"
A small-world.,It's a small world.,Hallucination,a smallworld,it is a small world,['a smallworld'],['it is a small world'],"[['a', 'smallworld']]","[['it', 'is', 'a', 'small', 'world']]"
"Dude, you didn't ask.",You didn't ask.,Not Hallucination,dude you did not ask,you did not ask,['dude you did not ask'],['you did not ask'],"[['dude', 'you', 'did', 'not', 'ask']]","[['you', 'did', 'not', 'ask']]"
♪ On my go ♪,On my go.,Hallucination, on my go ,on my go,[' on my go'],['on my go'],"[['on', 'my', 'go']]","[['on', 'my', 'go']]"
You may kiss the bride-to.,You may kiss the bride.,Not Hallucination,you may kiss the brideto,you may kiss the bride,['you may kiss the brideto'],['you may kiss the bride'],"[['you', 'may', 'kiss', 'the', 'brideto']]","[['you', 'may', 'kiss', 'the', 'bride']]"
You've heard of this fella?,Have you heard of him?,Not Hallucination,you have heard of this fella,have you heard of him,['you have heard of this fella'],['have you heard of him'],"[['you', 'have', 'heard', 'of', 'this', 'fella']]","[['have', 'you', 'heard', 'of', 'him']]"
You got a boyfriend?,You got a boyfriend?,Not Hallucination,you got a boyfriend,you got a boyfriend,['you got a boyfriend'],['you got a boyfriend'],"[['you', 'got', 'a', 'boyfriend']]","[['you', 'got', 'a', 'boyfriend']]"
I have my ⁇ .,I've got my orders.,Hallucination,i have my  ,i have got my orders,['i have my'],['i have got my orders'],"[['i', 'have', 'my']]","[['i', 'have', 'got', 'my', 'orders']]"
Didyou sleep with her?,Did you sleep with her?,Not Hallucination,didyou sleep with her,did you sleep with her,['didyou sleep with her'],['did you sleep with her'],"[['didyou', 'sleep', 'with', 'her']]","[['did', 'you', 'sleep', 'with', 'her']]"
"- Whose fault is that, bruh?",Whose fault is that?,Not Hallucination, whose fault is that bruh,whose fault is that,[' whose fault is that bruh'],['whose fault is that'],"[['whose', 'fault', 'is', 'that', 'bruh']]","[['whose', 'fault', 'is', 'that']]"
What'll happen to us?,What's gonna happen to us?,Not Hallucination,what will happen to us,what is going to happen to us,['what will happen to us'],['what is going to happen to us'],"[['what', 'will', 'happen', 'to', 'us']]","[['what', 'is', 'going', 'to', 'happen', 'to', 'us']]"
The loo '?,The loo?,Hallucination,the loo ,the loo,['the loo'],['the loo'],"[['the', 'loo']]","[['the', 'loo']]"
We're not going to harm you.,We're not going to hurt you.,Not Hallucination,we are not going to harm you,we are not going to hurt you,['we are not going to harm you'],['we are not going to hurt you'],"[['we', 'are', 'not', 'going', 'to', 'harm', 'you']]","[['we', 'are', 'not', 'going', 'to', 'hurt', 'you']]"
Apologize?,Apologize?,Not Hallucination,apologize,apologize,['apologize'],['apologize'],[['apologize']],[['apologize']]
You're so witty.,You're so smart.,Not Hallucination,you are so witty,you are so smart,['you are so witty'],['you are so smart'],"[['you', 'are', 'so', 'witty']]","[['you', 'are', 'so', 'smart']]"
You're your father's daughter-in-law.,You're your father's daughter.,Hallucination,you are your fathers daughterinlaw,you are your fathers daughter,['you are your fathers daughterinlaw'],['you are your fathers daughter'],"[['you', 'are', 'your', 'fathers', 'daughterinlaw']]","[['you', 'are', 'your', 'fathers', 'daughter']]"
Ηow's Tara's doing?,How's Tara?,Hallucination,ηows taras doing,how is tara,['ηows taras doing'],['how is tara'],"[['ηows', 'taras', 'doing']]","[['how', 'is', 'tara']]"
"Good evening, my lords.","Evening, gentlemen.",Hallucination,good evening my lords,evening gentlemen,['good evening my lords'],['evening gentlemen'],"[['good', 'evening', 'my', 'lords']]","[['evening', 'gentlemen']]"
Are you prepared for that?,Are you ready for that?,Not Hallucination,are you prepared for that,are you ready for that,['are you prepared for that'],['are you ready for that'],"[['are', 'you', 'prepared', 'for', 'that']]","[['are', 'you', 'ready', 'for', 'that']]"
How's the--the-veal stew stew,How's the veal stew?,Hallucination,how is thetheveal stew stew,how is the veal stew,['how is thetheveal stew stew'],['how is the veal stew'],"[['how', 'is', 'thetheveal', 'stew', 'stew']]","[['how', 'is', 'the', 'veal', 'stew']]"
"Doesn't it sting, eh?",Doesn't it hurt?,Hallucination,does not it sting eh,does not it hurt,['does not it sting eh'],['does not it hurt'],"[['does', 'not', 'it', 'sting', 'eh']]","[['does', 'not', 'it', 'hurt']]"
15 MIN ⁇ SS.,15 minutes.,Hallucination,15 min  ss,15 minutes,['15 min  ss'],['15 minutes'],"[['15', 'min', 'ss']]","[['15', 'minutes']]"
"I Iove you, Mummy.","I love you, Ma.",Hallucination,i iove you mummy,i love you ma,['i iove you mummy'],['i love you ma'],"[['i', 'iove', 'you', 'mummy']]","[['i', 'love', 'you', 'ma']]"
"Yep, I-I know who you are.","Yeah, I know who you are.",Not Hallucination,yep ii know who you are,yeah i know who you are,['yep ii know who you are'],['yeah i know who you are'],"[['yep', 'ii', 'know', 'who', 'you', 'are']]","[['yeah', 'i', 'know', 'who', 'you', 'are']]"
It's ticklings.,It tickles.,Hallucination,it is ticklings,it tickles,['it is ticklings'],['it tickles'],"[['it', 'is', 'ticklings']]","[['it', 'tickles']]"
Mission accomplisheds.,Mission accomplished.,Hallucination,mission accomplisheds,mission accomplished,['mission accomplisheds'],['mission accomplished'],"[['mission', 'accomplisheds']]","[['mission', 'accomplished']]"
"You'll com back, won't ya?","You'll come back, won't you?",Not Hallucination,you will com back will not ya,you will come back will not you,['you will com back will not ya'],['you will come back will not you'],"[['you', 'will', 'com', 'back', 'will', 'not', 'ya']]","[['you', 'will', 'come', 'back', 'will', 'not', 'you']]"
"See ya later, kid.","See you, kid.",Not Hallucination,see ya later kid,see you kid,['see ya later kid'],['see you kid'],"[['see', 'ya', 'later', 'kid']]","[['see', 'you', 'kid']]"
Everybody all here?,Is everybody here?,Hallucination,everybody all here,is everybody here,['everybody all here'],['is everybody here'],"[['everybody', 'all', 'here']]","[['is', 'everybody', 'here']]"
Thank you for inviting me- -,Thank you for inviting me.,Not Hallucination,thank you for inviting me ,thank you for inviting me,['thank you for inviting me'],['thank you for inviting me'],"[['thank', 'you', 'for', 'inviting', 'me']]","[['thank', 'you', 'for', 'inviting', 'me']]"
Luck girl.,Lucky girl.,Not Hallucination,luck girl,lucky girl,['luck girl'],['lucky girl'],"[['luck', 'girl']]","[['lucky', 'girl']]"
I challenge ye,I challenge you.,Not Hallucination,i challenge ye,i challenge you,['i challenge ye'],['i challenge you'],"[['i', 'challenge', 'ye']]","[['i', 'challenge', 'you']]"
Rule number one- -,First rule:,Hallucination,rule number one ,first rule,['rule number one'],['first rule'],"[['rule', 'number', 'one']]","[['first', 'rule']]"
Get some rest.,You must get some rest.,Not Hallucination,get some rest,you must get some rest,['get some rest'],['you must get some rest'],"[['get', 'some', 'rest']]","[['you', 'must', 'get', 'some', 'rest']]"
I have to find her.,I've got to find her.,Not Hallucination,i have to find her,i have got to find her,['i have to find her'],['i have got to find her'],"[['i', 'have', 'to', 'find', 'her']]","[['i', 'have', 'got', 'to', 'find', 'her']]"
"Hey, tom.","Hey, Tom, wait up.",Not Hallucination,hey tom,hey tom wait up,['hey tom'],['hey tom wait up'],"[['hey', 'tom']]","[['hey', 'tom', 'wait', 'up']]"
And guns blazing.,And guns.,Hallucination,and guns blazing,and guns,['and guns blazing'],['and guns'],"[['and', 'guns', 'blazing']]","[['and', 'guns']]"
It's a love thing.,It's love.,Hallucination,it is a love thing,it is love,['it is a love thing'],['it is love'],"[['it', 'is', 'a', 'love', 'thing']]","[['it', 'is', 'love']]"
It doesn't change nothin '.,It doesn't change anything.,Not Hallucination,it does not change nothin ,it does not change anything,['it does not change nothin'],['it does not change anything'],"[['it', 'does', 'not', 'change', 'nothin']]","[['it', 'does', 'not', 'change', 'anything']]"
"All right, I'm goin 'first.","Okay, I'll go first.",Not Hallucination,all right i am goin first,okay i will go first,['all right i am goin first'],['okay i will go first'],"[['all', 'right', 'i', 'am', 'goin', 'first']]","[['okay', 'i', 'will', 'go', 'first']]"
What kind of intels?,What information?,Hallucination,what kind of intels,what information,['what kind of intels'],['what information'],"[['what', 'kind', 'of', 'intels']]","[['what', 'information']]"
What'd you say to them?,What'd you say to them?,Not Hallucination,what did you say to them,what did you say to them,['what did you say to them'],['what did you say to them'],"[['what', 'did', 'you', 'say', 'to', 'them']]","[['what', 'did', 'you', 'say', 'to', 'them']]"
We do not possess them.,We don't have them.,Hallucination,we do not possess them,we do not have them,['we do not possess them'],['we do not have them'],"[['we', 'do', 'not', 'possess', 'them']]","[['we', 'do', 'not', 'have', 'them']]"
I'll give you a lead-in.,I'll give you a clue.,Hallucination,i will give you a leadin,i will give you a clue,['i will give you a leadin'],['i will give you a clue'],"[['i', 'will', 'give', 'you', 'a', 'leadin']]","[['i', 'will', 'give', 'you', 'a', 'clue']]"
Arrhythmia,A motorbike.,Hallucination,arrhythmia,a motorbike,['arrhythmia'],['a motorbike'],[['arrhythmia']],"[['a', 'motorbike']]"
I ain't no cubs.,I'm not a child.,Hallucination,i are not no cubs,i am not a child,['i are not no cubs'],['i am not a child'],"[['i', 'are', 'not', 'no', 'cubs']]","[['i', 'am', 'not', 'a', 'child']]"
"OK, chicks.","OK, girls.",Not Hallucination,ok chicks,ok girls,['ok chicks'],['ok girls'],"[['ok', 'chicks']]","[['ok', 'girls']]"
So do you have a girlfriend?,So do you have a girlfriend?,Not Hallucination,so do you have a girlfriend,so do you have a girlfriend,['so do you have a girlfriend'],['so do you have a girlfriend'],"[['so', 'do', 'you', 'have', 'a', 'girlfriend']]","[['so', 'do', 'you', 'have', 'a', 'girlfriend']]"
We are doing our best.,We're doing our best.,Not Hallucination,we are doing our best,we are doing our best,['we are doing our best'],['we are doing our best'],"[['we', 'are', 'doing', 'our', 'best']]","[['we', 'are', 'doing', 'our', 'best']]"
Mustafas.,Mustafa.,Hallucination,mustafas,mustafa,['mustafas'],['mustafa'],[['mustafas']],[['mustafa']]
"You're a life-saver, man.",You're a life saver.,Hallucination,you are a lifesaver man,you are a life saver,['you are a lifesaver man'],['you are a life saver'],"[['you', 'are', 'a', 'lifesaver', 'man']]","[['you', 'are', 'a', 'life', 'saver']]"
He needs some watering.,He needs some water.,Hallucination,he needs some watering,he needs some water,['he needs some watering'],['he needs some water'],"[['he', 'needs', 'some', 'watering']]","[['he', 'needs', 'some', 'water']]"
 ⁇ .,"Ah, Ezekiel.",Hallucination,  ,ah ezekiel,[],['ah ezekiel'],[],"[['ah', 'ezekiel']]"
Do you come here oftentime?,Do you come here often?,Hallucination,do you come here oftentime,do you come here often,['do you come here oftentime'],['do you come here often'],"[['do', 'you', 'come', 'here', 'oftentime']]","[['do', 'you', 'come', 'here', 'often']]"
"I'd do anything for you, man.",I'd do anything for you.,Not Hallucination,i would do anything for you man,i would do anything for you,['i would do anything for you man'],['i would do anything for you'],"[['i', 'would', 'do', 'anything', 'for', 'you', 'man']]","[['i', 'would', 'do', 'anything', 'for', 'you']]"
"No, you're the first one.","No, you first.",Hallucination,no you are the first one,no you first,['no you are the first one'],['no you first'],"[['no', 'you', 'are', 'the', 'first', 'one']]","[['no', 'you', 'first']]"
My name's.,My name's.,Not Hallucination,my names,my names,['my names'],['my names'],"[['my', 'names']]","[['my', 'names']]"
"See, I'm.","See, I.",Not Hallucination,see i am,see i,['see i am'],['see i'],"[['see', 'i', 'am']]","[['see', 'i']]"
I'd like to forget.,I wanna forget.,Not Hallucination,i would like to forget,i want to forget,['i would like to forget'],['i want to forget'],"[['i', 'would', 'like', 'to', 'forget']]","[['i', 'want', 'to', 'forget']]"
"Don't call me again, ma'am.",Don't call me again.,Not Hallucination,do not call me again madam,do not call me again,['do not call me again madam'],['do not call me again'],"[['do', 'not', 'call', 'me', 'again', 'madam']]","[['do', 'not', 'call', 'me', 'again']]"
I've been trying to get ahold of you.,I've been trying to get a hold of you.,Not Hallucination,i have been trying to get ahold of you,i have been trying to get a hold of you,['i have been trying to get ahold of you'],['i have been trying to get a hold of you'],"[['i', 'have', 'been', 'trying', 'to', 'get', 'ahold', 'of', 'you']]","[['i', 'have', 'been', 'trying', 'to', 'get', 'a', 'hold', 'of', 'you']]"
You got any change?,Got any change?,Not Hallucination,you got any change,got any change,['you got any change'],['got any change'],"[['you', 'got', 'any', 'change']]","[['got', 'any', 'change']]"
It's heart-breaking news.,Breaks my heart.,Not Hallucination,it is heartbreaking news,breaks my heart,['it is heartbreaking news'],['breaks my heart'],"[['it', 'is', 'heartbreaking', 'news']]","[['breaks', 'my', 'heart']]"
Was that so much to ask?,Is that so much to ask?,Not Hallucination,was that so much to ask,is that so much to ask,['was that so much to ask'],['is that so much to ask'],"[['was', 'that', 'so', 'much', 'to', 'ask']]","[['is', 'that', 'so', 'much', 'to', 'ask']]"
Why would ya do that?,Why would anyone do that?,Not Hallucination,why would ya do that,why would anyone do that,['why would ya do that'],['why would anyone do that'],"[['why', 'would', 'ya', 'do', 'that']]","[['why', 'would', 'anyone', 'do', 'that']]"
I'm goin 'to change up.,I'm going to change.,Hallucination,i am goin to change up,i am going to change,['i am goin to change up'],['i am going to change'],"[['i', 'am', 'goin', 'to', 'change', 'up']]","[['i', 'am', 'going', 'to', 'change']]"
Wanna talk?,Do you wanna talk?,Not Hallucination,want to talk,do you want to talk,['want to talk'],['do you want to talk'],"[['want', 'to', 'talk']]","[['do', 'you', 'want', 'to', 'talk']]"
"Well, um, you are a good friend.","Well, you're a good friend.",Not Hallucination,well um you are a good friend,well you are a good friend,['well um you are a good friend'],['well you are a good friend'],"[['well', 'um', 'you', 'are', 'a', 'good', 'friend']]","[['well', 'you', 'are', 'a', 'good', 'friend']]"
 ⁇  memory.,Loss of memory.,Hallucination,   memory,loss of memory,['   memory'],['loss of memory'],[['memory']],"[['loss', 'of', 'memory']]"
You always have been.,You always have been.,Not Hallucination,you always have been,you always have been,['you always have been'],['you always have been'],"[['you', 'always', 'have', 'been']]","[['you', 'always', 'have', 'been']]"
Privately speaking.,In private.,Hallucination,privately speaking,in private,['privately speaking'],['in private'],"[['privately', 'speaking']]","[['in', 'private']]"
How'd you guys meet?,How did you guys meet?,Not Hallucination,how did you guys meet,how did you guys meet,['how did you guys meet'],['how did you guys meet'],"[['how', 'did', 'you', 'guys', 'meet']]","[['how', 'did', 'you', 'guys', 'meet']]"
Are you giving up?,Do you give up?,Not Hallucination,are you giving up,do you give up,['are you giving up'],['do you give up'],"[['are', 'you', 'giving', 'up']]","[['do', 'you', 'give', 'up']]"
Sonya.,Sonja.,Hallucination,sonya,sonja,['sonya'],['sonja'],[['sonya']],[['sonja']]
It's alexia.,It's Alex.,Hallucination,it is alexia,it is alex,['it is alexia'],['it is alex'],"[['it', 'is', 'alexia']]","[['it', 'is', 'alex']]"
Couldn't sleep now?,Can't sleep?,Not Hallucination,could not sleep now,cannot sleep,['could not sleep now'],['cannot sleep'],"[['could', 'not', 'sleep', 'now']]","[['can', 'not', 'sleep']]"
We have to be wary.,We must be careful.,Not Hallucination,we have to be wary,we must be careful,['we have to be wary'],['we must be careful'],"[['we', 'have', 'to', 'be', 'wary']]","[['we', 'must', 'be', 'careful']]"
"I'm going to protect you, mister.",I'll protect you.,Not Hallucination,i am going to protect you mister,i will protect you,['i am going to protect you mister'],['i will protect you'],"[['i', 'am', 'going', 'to', 'protect', 'you', 'mister']]","[['i', 'will', 'protect', 'you']]"
- Did you recognize her?,Did you know her?,Hallucination, did you recognize her,did you know her,[' did you recognize her'],['did you know her'],"[['did', 'you', 'recognize', 'her']]","[['did', 'you', 'know', 'her']]"
Where are they right now?,"Well, where are they now?",Not Hallucination,where are they right now,well where are they now,['where are they right now'],['well where are they now'],"[['where', 'are', 'they', 'right', 'now']]","[['well', 'where', 'are', 'they', 'now']]"
Biscuits?,Biscuit?,Not Hallucination,biscuits,biscuit,['biscuits'],['biscuit'],[['biscuits']],[['biscuit']]
Chop the engine off.,Cut the engine.,Hallucination,chop the engine off,cut the engine,['chop the engine off'],['cut the engine'],"[['chop', 'the', 'engine', 'off']]","[['cut', 'the', 'engine']]"
There's so many.,There's so many of them.,Not Hallucination,there is so many,there is so many of them,['there is so many'],['there is so many of them'],"[['there', 'is', 'so', 'many']]","[['there', 'is', 'so', 'many', 'of', 'them']]"
Wanna have a cigarette?,Want a cigarette?,Not Hallucination,want to have a cigarette,want a cigarette,['want to have a cigarette'],['want a cigarette'],"[['want', 'to', 'have', 'a', 'cigarette']]","[['want', 'a', 'cigarette']]"
And when was that- -,And when was that?,Hallucination,and when was that ,and when was that,['and when was that'],['and when was that'],"[['and', 'when', 'was', 'that']]","[['and', 'when', 'was', 'that']]"
There has to be a way.,There's got to be a way.,Not Hallucination,there has to be a way,there is got to be a way,['there has to be a way'],['there is got to be a way'],"[['there', 'has', 'to', 'be', 'a', 'way']]","[['there', 'is', 'got', 'to', 'be', 'a', 'way']]"
Where's my y'all?,Where's my son?,Hallucination,where is my you all,where is my son,['where is my you all'],['where is my son'],"[['where', 'is', 'my', 'you', 'all']]","[['where', 'is', 'my', 'son']]"
I thought you'd surrendered.,I thought you'd given up.,Hallucination,i thought you would surrendered,i thought you would given up,['i thought you would surrendered'],['i thought you would given up'],"[['i', 'thought', 'you', 'would', 'surrendered']]","[['i', 'thought', 'you', 'would', 'given', 'up']]"
It's awfully late.,It's very late.,Not Hallucination,it is awfully late,it is very late,['it is awfully late'],['it is very late'],"[['it', 'is', 'awfully', 'late']]","[['it', 'is', 'very', 'late']]"
We've won the fight.,We've won.,Not Hallucination,we have won the fight,we have won,['we have won the fight'],['we have won'],"[['we', 'have', 'won', 'the', 'fight']]","[['we', 'have', 'won']]"
Good afternoon. gentlemen.,"Afternoon, gentlemen.",Not Hallucination,good afternoon gentlemen,afternoon gentlemen,['good afternoon gentlemen'],['afternoon gentlemen'],"[['good', 'afternoon', 'gentlemen']]","[['afternoon', 'gentlemen']]"
Car accident.,A car accident.,Not Hallucination,car accident,a car accident,['car accident'],['a car accident'],"[['car', 'accident']]","[['a', 'car', 'accident']]"
Dedication.,Dedication.,Not Hallucination,dedication,dedication,['dedication'],['dedication'],[['dedication']],[['dedication']]
Party's over now.,Party is over.,Not Hallucination,partys over now,party is over,['partys over now'],['party is over'],"[['partys', 'over', 'now']]","[['party', 'is', 'over']]"
It's just a gamble.,It's just a game.,Hallucination,it is just a gamble,it is just a game,['it is just a gamble'],['it is just a game'],"[['it', 'is', 'just', 'a', 'gamble']]","[['it', 'is', 'just', 'a', 'game']]"
It's non- ⁇ .,It's not healthy.,Hallucination,it is non  ,it is not healthy,['it is non'],['it is not healthy'],"[['it', 'is', 'non']]","[['it', 'is', 'not', 'healthy']]"
"See, they're not stopping","See, they're not stopping.",Not Hallucination,see they are not stopping,see they are not stopping,['see they are not stopping'],['see they are not stopping'],"[['see', 'they', 'are', 'not', 'stopping']]","[['see', 'they', 'are', 'not', 'stopping']]"
Could be a good time.,Could be fun.,Not Hallucination,could be a good time,could be fun,['could be a good time'],['could be fun'],"[['could', 'be', 'a', 'good', 'time']]","[['could', 'be', 'fun']]"
You want to help?,Want to help?,Not Hallucination,you want to help,want to help,['you want to help'],['want to help'],"[['you', 'want', 'to', 'help']]","[['want', 'to', 'help']]"
You ain't going now.,You can't go now.,Hallucination,you are not going now,you cannot go now,['you are not going now'],['you cannot go now'],"[['you', 'are', 'not', 'going', 'now']]","[['you', 'can', 'not', 'go', 'now']]"
"Hey, yo, Joe.","Hello, Joe.",Hallucination,hey yo joe,hello joe,['hey yo joe'],['hello joe'],"[['hey', 'yo', 'joe']]","[['hello', 'joe']]"
You're a palehead.,You're pale.,Hallucination,you are a palehead,you are pale,['you are a palehead'],['you are pale'],"[['you', 'are', 'a', 'palehead']]","[['you', 'are', 'pale']]"
"Hey, Jimmy.","Hey, Jimmy.",Not Hallucination,hey jimmy,hey jimmy,['hey jimmy'],['hey jimmy'],"[['hey', 'jimmy']]","[['hey', 'jimmy']]"
Can I speak..,Can I speak?,Hallucination,can i speak,can i speak,['can i speak'],['can i speak'],"[['can', 'i', 'speak']]","[['can', 'i', 'speak']]"
"Thanks, fellows.","Thank you, boys.",Hallucination,thanks fellows,thank you boys,['thanks fellows'],['thank you boys'],"[['thanks', 'fellows']]","[['thank', 'you', 'boys']]"
"No, brian.","No, Brian.",Not Hallucination,no brian,no brian,['no brian'],['no brian'],"[['no', 'brian']]","[['no', 'brian']]"
It's a phony one.,It's a fake.,Hallucination,it is a phony one,it is a fake,['it is a phony one'],['it is a fake'],"[['it', 'is', 'a', 'phony', 'one']]","[['it', 'is', 'a', 'fake']]"
Allow me to see your hand here.,Let me see your hand.,Hallucination,allow me to see your hand here,let me see your hand,['allow me to see your hand here'],['let me see your hand'],"[['allow', 'me', 'to', 'see', 'your', 'hand', 'here']]","[['let', 'me', 'see', 'your', 'hand']]"
And the winner is- -,And the winner is.,Hallucination,and the winner is ,and the winner is,['and the winner is'],['and the winner is'],"[['and', 'the', 'winner', 'is']]","[['and', 'the', 'winner', 'is']]"
You 're gonna kill me?,You going to kill me?,Not Hallucination,you  are going to kill me,you going to kill me,['you  are going to kill me'],['you going to kill me'],"[['you', 'are', 'going', 'to', 'kill', 'me']]","[['you', 'going', 'to', 'kill', 'me']]"
I want to thank ya.,I wanna thank you.,Hallucination,i want to thank ya,i want to thank you,['i want to thank ya'],['i want to thank you'],"[['i', 'want', 'to', 'thank', 'ya']]","[['i', 'want', 'to', 'thank', 'you']]"
"Put your hand out, please.",Put out your hand.,Hallucination,put your hand out please,put out your hand,['put your hand out please'],['put out your hand'],"[['put', 'your', 'hand', 'out', 'please']]","[['put', 'out', 'your', 'hand']]"
It's destinyl.,It's destiny.,Hallucination,it is destinyl,it is destiny,['it is destinyl'],['it is destiny'],"[['it', 'is', 'destinyl']]","[['it', 'is', 'destiny']]"
"Door's open, man.",Door's open.,Hallucination,doors open man,doors open,['doors open man'],['doors open'],"[['doors', 'open', 'man']]","[['doors', 'open']]"
"Hey, grandma.","Hey, grandma.",Not Hallucination,hey grandma,hey grandma,['hey grandma'],['hey grandma'],"[['hey', 'grandma']]","[['hey', 'grandma']]"
You're being ⁇ .,We have you surrounded.,Hallucination,you are being  ,we have you surrounded,['you are being'],['we have you surrounded'],"[['you', 'are', 'being']]","[['we', 'have', 'you', 'surrounded']]"
Look at the ⁇ .,Look at the road.,Hallucination,look at the  ,look at the road,['look at the'],['look at the road'],"[['look', 'at', 'the']]","[['look', 'at', 'the', 'road']]"
"For these and all the sins of my life, I'm sorry.","For these and all the sins of my life, I'm sorry.",Not Hallucination,for these and all the sins of my life i am sorry,for these and all the sins of my life i am sorry,['for these and all the sins of my life i am sorry'],['for these and all the sins of my life i am sorry'],"[['for', 'these', 'and', 'all', 'the', 'sins', 'of', 'my', 'life', 'i', 'am', 'sorry']]","[['for', 'these', 'and', 'all', 'the', 'sins', 'of', 'my', 'life', 'i', 'am', 'sorry']]"
My first kiss-up.,My first kiss.,Hallucination,my first kissup,my first kiss,['my first kissup'],['my first kiss'],"[['my', 'first', 'kissup']]","[['my', 'first', 'kiss']]"
He's very persuasive.,He's very persuasive.,Not Hallucination,he is very persuasive,he is very persuasive,['he is very persuasive'],['he is very persuasive'],"[['he', 'is', 'very', 'persuasive']]","[['he', 'is', 'very', 'persuasive']]"
IT'S JUST A  ⁇ IST ⁇ .,It's only a theory.,Hallucination,it is just a   ist  ,it is only a theory,['it is just a   ist'],['it is only a theory'],"[['it', 'is', 'just', 'a', 'ist']]","[['it', 'is', 'only', 'a', 'theory']]"
I'd like to see.,I wanna see you.,Hallucination,i would like to see,i want to see you,['i would like to see'],['i want to see you'],"[['i', 'would', 'like', 'to', 'see']]","[['i', 'want', 'to', 'see', 'you']]"
We're helping people.,We're helping people.,Not Hallucination,we are helping people,we are helping people,['we are helping people'],['we are helping people'],"[['we', 'are', 'helping', 'people']]","[['we', 'are', 'helping', 'people']]"
Brilliant story.,Good story.,Hallucination,brilliant story,good story,['brilliant story'],['good story'],"[['brilliant', 'story']]","[['good', 'story']]"
Are you searching for something?,Are you looking for something?,Hallucination,are you searching for something,are you looking for something,['are you searching for something'],['are you looking for something'],"[['are', 'you', 'searching', 'for', 'something']]","[['are', 'you', 'looking', 'for', 'something']]"
Who 's been killed?,Who's died?,Hallucination,who s been killed,who is died,['who s been killed'],['who is died'],"[['who', 's', 'been', 'killed']]","[['who', 'is', 'died']]"
"Lower shields, please.",Lower shields.,Not Hallucination,lower shields please,lower shields,['lower shields please'],['lower shields'],"[['lower', 'shields', 'please']]","[['lower', 'shields']]"
