hyp,tgt,label,hyp_normalized,tgt_normalized,hyp_sentences,tgt_sentences,hyp_tokens,tgt_tokens
Tell him I'll be right back.,Tell him I'll be right back.,Not Hallucination,tell him i will be right back,tell him i will be right back,['tell him i will be right back'],['tell him i will be right back'],"[['tell', 'him', 'i', 'will', 'be', 'right', 'back']]","[['tell', 'him', 'i', 'will', 'be', 'right', 'back']]"
Jane is a pretty girl.,Jane is a remarkably beautiful young woman.,Not Hallucination,jane is a pretty girl,jane is a remarkably beautiful young woman,['jane is a pretty girl'],['jane is a remarkably beautiful young woman'],"[['jane', 'is', 'a', 'pretty', 'girl']]","[['jane', 'is', 'a', 'remarkably', 'beautiful', 'young', 'woman']]"
So much more needs to be done!,There are so many things left to be done.,Not Hallucination,so much more needs to be done,there are so many things left to be done,['so much more needs to be done'],['there are so many things left to be done'],"[['so', 'much', 'more', 'needs', 'to', 'be', 'done']]","[['there', 'are', 'so', 'many', 'things', 'left', 'to', 'be', 'done']]"
We don't have kids.,We don't have any children.,Not Hallucination,we do not have kids,we do not have any children,['we do not have kids'],['we do not have any children'],"[['we', 'do', 'not', 'have', 'kids']]","[['we', 'do', 'not', 'have', 'any', 'children']]"
My passport was in my purse.,My passport was in the bag.,Hallucination,my passport was in my purse,my passport was in the bag,['my passport was in my purse'],['my passport was in the bag'],"[['my', 'passport', 'was', 'in', 'my', 'purse']]","[['my', 'passport', 'was', 'in', 'the', 'bag']]"
Who told him I was here?,Who told Tom that I was here?,Not Hallucination,who told him i was here,who told tom that i was here,['who told him i was here'],['who told tom that i was here'],"[['who', 'told', 'him', 'i', 'was', 'here']]","[['who', 'told', 'tom', 'that', 'i', 'was', 'here']]"
Thank you for your interest.,Thanks for your interest.,Not Hallucination,thank you for your interest,thanks for your interest,['thank you for your interest'],['thanks for your interest'],"[['thank', 'you', 'for', 'your', 'interest']]","[['thanks', 'for', 'your', 'interest']]"
I've already noticed.,I already noticed that.,Not Hallucination,i have already noticed,i already noticed that,['i have already noticed'],['i already noticed that'],"[['i', 'have', 'already', 'noticed']]","[['i', 'already', 'noticed', 'that']]"
You know what he brought us?,Do you know what he brought us?,Not Hallucination,you know what he brought us,do you know what he brought us,['you know what he brought us'],['do you know what he brought us'],"[['you', 'know', 'what', 'he', 'brought', 'us']]","[['do', 'you', 'know', 'what', 'he', 'brought', 'us']]"
I've been wearing this coat for over three years.,I've been wearing this coat for more than three years.,Not Hallucination,i have been wearing this coat for over three years,i have been wearing this coat for more than three years,['i have been wearing this coat for over three years'],['i have been wearing this coat for more than three years'],"[['i', 'have', 'been', 'wearing', 'this', 'coat', 'for', 'over', 'three', 'years']]","[['i', 'have', 'been', 'wearing', 'this', 'coat', 'for', 'more', 'than', 'three', 'years']]"
She grew up in a family with eight children and was accustomed to bardak.,"She came from a family of ten, so bedlam was the norm.",Hallucination,she grew up in a family with eight children and was accustomed to bardak,she came from a family of ten so bedlam was the norm,['she grew up in a family with eight children and was accustomed to bardak'],['she came from a family of ten so bedlam was the norm'],"[['she', 'grew', 'up', 'in', 'a', 'family', 'with', 'eight', 'children', 'and', 'was', 'accustomed', 'to', 'bardak']]","[['she', 'came', 'from', 'a', 'family', 'of', 'ten', 'so', 'bedlam', 'was', 'the', 'norm']]"
Did you know your door was open?,Did you know your door was open?,Not Hallucination,did you know your door was open,did you know your door was open,['did you know your door was open'],['did you know your door was open'],"[['did', 'you', 'know', 'your', 'door', 'was', 'open']]","[['did', 'you', 'know', 'your', 'door', 'was', 'open']]"
We went to different schools.,We went to different schools.,Not Hallucination,we went to different schools,we went to different schools,['we went to different schools'],['we went to different schools'],"[['we', 'went', 'to', 'different', 'schools']]","[['we', 'went', 'to', 'different', 'schools']]"
Tom put his room in order.,Tom put his room in order.,Not Hallucination,tom put his room in order,tom put his room in order,['tom put his room in order'],['tom put his room in order'],"[['tom', 'put', 'his', 'room', 'in', 'order']]","[['tom', 'put', 'his', 'room', 'in', 'order']]"
Tom doesn't want to go with you.,Tom doesn't want to go with you.,Not Hallucination,tom does not want to go with you,tom does not want to go with you,['tom does not want to go with you'],['tom does not want to go with you'],"[['tom', 'does', 'not', 'want', 'to', 'go', 'with', 'you']]","[['tom', 'does', 'not', 'want', 'to', 'go', 'with', 'you']]"
Tom didn't take his watch.,Tom didn't take his watch off.,Not Hallucination,tom did not take his watch,tom did not take his watch off,['tom did not take his watch'],['tom did not take his watch off'],"[['tom', 'did', 'not', 'take', 'his', 'watch']]","[['tom', 'did', 'not', 'take', 'his', 'watch', 'off']]"
The Kankan that the other Kankan can be surpassed can surpass the other Kankan.,Can-can can-can can can can can can-can.,Hallucination,the kankan that the other kankan can be surpassed can surpass the other kankan,cancan cancan can can can can cancan,['the kankan that the other kankan can be surpassed can surpass the other kankan'],['cancan cancan can can can can cancan'],"[['the', 'kankan', 'that', 'the', 'other', 'kankan', 'can', 'be', 'surpassed', 'can', 'surpass', 'the', 'other', 'kankan']]","[['cancan', 'cancan', 'can', 'can', 'can', 'can', 'cancan']]"
He doesn't have a cell phone.,He has no mobile.,Not Hallucination,he does not have a cell phone,he has no mobile,['he does not have a cell phone'],['he has no mobile'],"[['he', 'does', 'not', 'have', 'a', 'cell', 'phone']]","[['he', 'has', 'no', 'mobile']]"
"If I sow this stone, will the mountain grow?","If I sow this pebble, will a mountain grow?",Not Hallucination,if i sow this stone will the mountain grow,if i sow this pebble will a mountain grow,['if i sow this stone will the mountain grow'],['if i sow this pebble will a mountain grow'],"[['if', 'i', 'sow', 'this', 'stone', 'will', 'the', 'mountain', 'grow']]","[['if', 'i', 'sow', 'this', 'pebble', 'will', 'a', 'mountain', 'grow']]"
Why can't you go to Boston?,Why can't you go to Boston?,Not Hallucination,why cannot you go to boston,why cannot you go to boston,['why cannot you go to boston'],['why cannot you go to boston'],"[['why', 'can', 'not', 'you', 'go', 'to', 'boston']]","[['why', 'can', 'not', 'you', 'go', 'to', 'boston']]"
We have a deadline.,We have a deadline.,Not Hallucination,we have a deadline,we have a deadline,['we have a deadline'],['we have a deadline'],"[['we', 'have', 'a', 'deadline']]","[['we', 'have', 'a', 'deadline']]"
I'll be blind.,I'm going blind.,Hallucination,i will be blind,i am going blind,['i will be blind'],['i am going blind'],"[['i', 'will', 'be', 'blind']]","[['i', 'am', 'going', 'blind']]"
Can I write down your answers?,Can I copy your answers?,Hallucination,can i write down your answers,can i copy your answers,['can i write down your answers'],['can i copy your answers'],"[['can', 'i', 'write', 'down', 'your', 'answers']]","[['can', 'i', 'copy', 'your', 'answers']]"
Tom and I are the same height.,I'm as tall as Tom.,Hallucination,tom and i are the same height,i am as tall as tom,['tom and i are the same height'],['i am as tall as tom'],"[['tom', 'and', 'i', 'are', 'the', 'same', 'height']]","[['i', 'am', 'as', 'tall', 'as', 'tom']]"
"I see yours, where are mine?","I see yours, but where are mine?",Not Hallucination,i see yours where are mine,i see yours but where are mine,['i see yours where are mine'],['i see yours but where are mine'],"[['i', 'see', 'yours', 'where', 'are', 'mine']]","[['i', 'see', 'yours', 'but', 'where', 'are', 'mine']]"
Tom had to go there.,Tom had to go there.,Not Hallucination,tom had to go there,tom had to go there,['tom had to go there'],['tom had to go there'],"[['tom', 'had', 'to', 'go', 'there']]","[['tom', 'had', 'to', 'go', 'there']]"
What did I do now?,What did I just do?,Not Hallucination,what did i do now,what did i just do,['what did i do now'],['what did i just do'],"[['what', 'did', 'i', 'do', 'now']]","[['what', 'did', 'i', 'just', 'do']]"
"When Tom got up from the chair, he spoke.","Tom, having risen from his chair, began to speak.",Not Hallucination,when tom got up from the chair he spoke,tom having risen from his chair began to speak,['when tom got up from the chair he spoke'],['tom having risen from his chair began to speak'],"[['when', 'tom', 'got', 'up', 'from', 'the', 'chair', 'he', 'spoke']]","[['tom', 'having', 'risen', 'from', 'his', 'chair', 'began', 'to', 'speak']]"
Replace it.,Replace it.,Not Hallucination,replace it,replace it,['replace it'],['replace it'],"[['replace', 'it']]","[['replace', 'it']]"
Tom did eat potatoes and there was no carrot.,"Tom ate the potatoes, but he didn't eat the carrots.",Hallucination,tom did eat potatoes and there was no carrot,tom ate the potatoes but he did not eat the carrots,['tom did eat potatoes and there was no carrot'],['tom ate the potatoes but he did not eat the carrots'],"[['tom', 'did', 'eat', 'potatoes', 'and', 'there', 'was', 'no', 'carrot']]","[['tom', 'ate', 'the', 'potatoes', 'but', 'he', 'did', 'not', 'eat', 'the', 'carrots']]"
We're not doing anything right now.,We aren't doing anything right now.,Not Hallucination,we are not doing anything right now,we are not doing anything right now,['we are not doing anything right now'],['we are not doing anything right now'],"[['we', 'are', 'not', 'doing', 'anything', 'right', 'now']]","[['we', 'are', 'not', 'doing', 'anything', 'right', 'now']]"
I don't know how Tom got to Australia.,I don't know how Tom got to Australia.,Not Hallucination,i do not know how tom got to australia,i do not know how tom got to australia,['i do not know how tom got to australia'],['i do not know how tom got to australia'],"[['i', 'do', 'not', 'know', 'how', 'tom', 'got', 'to', 'australia']]","[['i', 'do', 'not', 'know', 'how', 'tom', 'got', 'to', 'australia']]"
Tell me more about them.,Tell me more about them.,Not Hallucination,tell me more about them,tell me more about them,['tell me more about them'],['tell me more about them'],"[['tell', 'me', 'more', 'about', 'them']]","[['tell', 'me', 'more', 'about', 'them']]"
Tom said he didn't know exactly how he'd get there.,Tom said he doesn't know exactly what time he's going to get here.,Hallucination,tom said he did not know exactly how he would get there,tom said he does not know exactly what time he is going to get here,['tom said he did not know exactly how he would get there'],['tom said he does not know exactly what time he is going to get here'],"[['tom', 'said', 'he', 'did', 'not', 'know', 'exactly', 'how', 'he', 'would', 'get', 'there']]","[['tom', 'said', 'he', 'does', 'not', 'know', 'exactly', 'what', 'time', 'he', 'is', 'going', 'to', 'get', 'here']]"
It all depends on you.,Everything depends on you.,Not Hallucination,it all depends on you,everything depends on you,['it all depends on you'],['everything depends on you'],"[['it', 'all', 'depends', 'on', 'you']]","[['everything', 'depends', 'on', 'you']]"
Wasn't he your boyfriend?,Wasn't he your boyfriend?,Not Hallucination,was not he your boyfriend,was not he your boyfriend,['was not he your boyfriend'],['was not he your boyfriend'],"[['was', 'not', 'he', 'your', 'boyfriend']]","[['was', 'not', 'he', 'your', 'boyfriend']]"
We live in a big house.,We live in a big house.,Not Hallucination,we live in a big house,we live in a big house,['we live in a big house'],['we live in a big house'],"[['we', 'live', 'in', 'a', 'big', 'house']]","[['we', 'live', 'in', 'a', 'big', 'house']]"
I don't know the surroundings.,I don't know my way around.,Hallucination,i do not know the surroundings,i do not know my way around,['i do not know the surroundings'],['i do not know my way around'],"[['i', 'do', 'not', 'know', 'the', 'surroundings']]","[['i', 'do', 'not', 'know', 'my', 'way', 'around']]"
Tom apologized to the listeners.,Tom apologized to the audience.,Not Hallucination,tom apologized to the listeners,tom apologized to the audience,['tom apologized to the listeners'],['tom apologized to the audience'],"[['tom', 'apologized', 'to', 'the', 'listeners']]","[['tom', 'apologized', 'to', 'the', 'audience']]"
Jim's not coming today.,Jim will not come today.,Not Hallucination,jims not coming today,jim will not come today,['jims not coming today'],['jim will not come today'],"[['jims', 'not', 'coming', 'today']]","[['jim', 'will', 'not', 'come', 'today']]"
Take the garbage out.,Take the garbage out.,Not Hallucination,take the garbage out,take the garbage out,['take the garbage out'],['take the garbage out'],"[['take', 'the', 'garbage', 'out']]","[['take', 'the', 'garbage', 'out']]"
"Nobody is the most frequent result of closed matches in which each player seeks, first of all, to limit the actions of the opponent.","A draw is the most frequent result of closed matches, in which each player seeks, above all, to restrict the opponent's actions.",Hallucination,nobody is the most frequent result of closed matches in which each player seeks first of all to limit the actions of the opponent,a draw is the most frequent result of closed matches in which each player seeks above all to restrict the opponents actions,['nobody is the most frequent result of closed matches in which each player seeks first of all to limit the actions of the opponent'],['a draw is the most frequent result of closed matches in which each player seeks above all to restrict the opponents actions'],"[['nobody', 'is', 'the', 'most', 'frequent', 'result', 'of', 'closed', 'matches', 'in', 'which', 'each', 'player', 'seeks', 'first', 'of', 'all', 'to', 'limit', 'the', 'actions', 'of', 'the', 'opponent']]","[['a', 'draw', 'is', 'the', 'most', 'frequent', 'result', 'of', 'closed', 'matches', 'in', 'which', 'each', 'player', 'seeks', 'above', 'all', 'to', 'restrict', 'the', 'opponents', 'actions']]"
And then he betrayed me.,And then he betrayed me.,Not Hallucination,and then he betrayed me,and then he betrayed me,['and then he betrayed me'],['and then he betrayed me'],"[['and', 'then', 'he', 'betrayed', 'me']]","[['and', 'then', 'he', 'betrayed', 'me']]"
Tom's Canadian now.,Tom is now a Canadian.,Not Hallucination,toms canadian now,tom is now a canadian,['toms canadian now'],['tom is now a canadian'],"[['toms', 'canadian', 'now']]","[['tom', 'is', 'now', 'a', 'canadian']]"
I can't believe I finally did it.,I can't believe I finally managed to do it.,Not Hallucination,i cannot believe i finally did it,i cannot believe i finally managed to do it,['i cannot believe i finally did it'],['i cannot believe i finally managed to do it'],"[['i', 'can', 'not', 'believe', 'i', 'finally', 'did', 'it']]","[['i', 'can', 'not', 'believe', 'i', 'finally', 'managed', 'to', 'do', 'it']]"
You don’t have to go there if you don’t want to.,You don't need to go there if you don't want to.,Not Hallucination,you do not have to go there if you do not want to,you do not need to go there if you do not want to,['you do not have to go there if you do not want to'],['you do not need to go there if you do not want to'],"[['you', 'do', 'not', 'have', 'to', 'go', 'there', 'if', 'you', 'do', 'not', 'want', 'to']]","[['you', 'do', 'not', 'need', 'to', 'go', 'there', 'if', 'you', 'do', 'not', 'want', 'to']]"
Tom hates people.,Tom hates people.,Not Hallucination,tom hates people,tom hates people,['tom hates people'],['tom hates people'],"[['tom', 'hates', 'people']]","[['tom', 'hates', 'people']]"
I had no right to say such things.,I had no right to say something like that.,Not Hallucination,i had no right to say such things,i had no right to say something like that,['i had no right to say such things'],['i had no right to say something like that'],"[['i', 'had', 'no', 'right', 'to', 'say', 'such', 'things']]","[['i', 'had', 'no', 'right', 'to', 'say', 'something', 'like', 'that']]"
Everybody's different.,Everyone is different.,Not Hallucination,everybodys different,everyone is different,['everybodys different'],['everyone is different'],"[['everybodys', 'different']]","[['everyone', 'is', 'different']]"
Our company has a strict dress code.,Our company has a strict dress code.,Not Hallucination,our company has a strict dress code,our company has a strict dress code,['our company has a strict dress code'],['our company has a strict dress code'],"[['our', 'company', 'has', 'a', 'strict', 'dress', 'code']]","[['our', 'company', 'has', 'a', 'strict', 'dress', 'code']]"
Someday you will be famous.,You're going to be famous someday.,Not Hallucination,someday you will be famous,you are going to be famous someday,['someday you will be famous'],['you are going to be famous someday'],"[['someday', 'you', 'will', 'be', 'famous']]","[['you', 'are', 'going', 'to', 'be', 'famous', 'someday']]"
Be brief.,Be brief.,Not Hallucination,be brief,be brief,['be brief'],['be brief'],"[['be', 'brief']]","[['be', 'brief']]"
You seem to have learned a lot.,It seems you've learned a lot.,Not Hallucination,you seem to have learned a lot,it seems you have learned a lot,['you seem to have learned a lot'],['it seems you have learned a lot'],"[['you', 'seem', 'to', 'have', 'learned', 'a', 'lot']]","[['it', 'seems', 'you', 'have', 'learned', 'a', 'lot']]"
Washing is routine work.,Laundry is a chore.,Hallucination,washing is routine work,laundry is a chore,['washing is routine work'],['laundry is a chore'],"[['washing', 'is', 'routine', 'work']]","[['laundry', 'is', 'a', 'chore']]"
Can you wash it?,Can this be washed?,Not Hallucination,can you wash it,can this be washed,['can you wash it'],['can this be washed'],"[['can', 'you', 'wash', 'it']]","[['can', 'this', 'be', 'washed']]"
"Okay, decide.","Well, make up your mind.",Hallucination,okay decide,well make up your mind,['okay decide'],['well make up your mind'],"[['okay', 'decide']]","[['well', 'make', 'up', 'your', 'mind']]"
Let's meet up in a week!,Let's meet in a week.,Not Hallucination,let us meet up in a week,let us meet in a week,['let us meet up in a week'],['let us meet in a week'],"[['let', 'us', 'meet', 'up', 'in', 'a', 'week']]","[['let', 'us', 'meet', 'in', 'a', 'week']]"
No one knows you.,No one's forcing you to leave.,Hallucination,no one knows you,no ones forcing you to leave,['no one knows you'],['no ones forcing you to leave'],"[['no', 'one', 'knows', 'you']]","[['no', 'ones', 'forcing', 'you', 'to', 'leave']]"
"Since then, there has been no hearing of her or her spirit.",She has not been heard of since.,Hallucination,since then there has been no hearing of her or her spirit,she has not been heard of since,['since then there has been no hearing of her or her spirit'],['she has not been heard of since'],"[['since', 'then', 'there', 'has', 'been', 'no', 'hearing', 'of', 'her', 'or', 'her', 'spirit']]","[['she', 'has', 'not', 'been', 'heard', 'of', 'since']]"
Why don't we have lunch here?,Why don't we have lunch here?,Not Hallucination,why do not we have lunch here,why do not we have lunch here,['why do not we have lunch here'],['why do not we have lunch here'],"[['why', 'do', 'not', 'we', 'have', 'lunch', 'here']]","[['why', 'do', 'not', 'we', 'have', 'lunch', 'here']]"
"Wait for me here, please.",Please wait here for me.,Not Hallucination,wait for me here please,please wait here for me,['wait for me here please'],['please wait here for me'],"[['wait', 'for', 'me', 'here', 'please']]","[['please', 'wait', 'here', 'for', 'me']]"
Did you find out who the woman was?,Did you find out who that woman was?,Not Hallucination,did you find out who the woman was,did you find out who that woman was,['did you find out who the woman was'],['did you find out who that woman was'],"[['did', 'you', 'find', 'out', 'who', 'the', 'woman', 'was']]","[['did', 'you', 'find', 'out', 'who', 'that', 'woman', 'was']]"
Australia is beautiful.,Australia is very beautiful.,Not Hallucination,australia is beautiful,australia is very beautiful,['australia is beautiful'],['australia is very beautiful'],"[['australia', 'is', 'beautiful']]","[['australia', 'is', 'very', 'beautiful']]"
Boston is visited by many tourists from Canada.,A lot of Canadian tourists visit Boston.,Not Hallucination,boston is visited by many tourists from canada,a lot of canadian tourists visit boston,['boston is visited by many tourists from canada'],['a lot of canadian tourists visit boston'],"[['boston', 'is', 'visited', 'by', 'many', 'tourists', 'from', 'canada']]","[['a', 'lot', 'of', 'canadian', 'tourists', 'visit', 'boston']]"
Tom smiles all day.,Tom has been smiling all day.,Hallucination,tom smiles all day,tom has been smiling all day,['tom smiles all day'],['tom has been smiling all day'],"[['tom', 'smiles', 'all', 'day']]","[['tom', 'has', 'been', 'smiling', 'all', 'day']]"
Tom is like a child.,Tom acted like a baby.,Hallucination,tom is like a child,tom acted like a baby,['tom is like a child'],['tom acted like a baby'],"[['tom', 'is', 'like', 'a', 'child']]","[['tom', 'acted', 'like', 'a', 'baby']]"
Who's coming to the party?,Who's coming to the party?,Not Hallucination,who is coming to the party,who is coming to the party,['who is coming to the party'],['who is coming to the party'],"[['who', 'is', 'coming', 'to', 'the', 'party']]","[['who', 'is', 'coming', 'to', 'the', 'party']]"
I'm starting to think you're serious.,I'm beginning to think you're serious.,Not Hallucination,i am starting to think you are serious,i am beginning to think you are serious,['i am starting to think you are serious'],['i am beginning to think you are serious'],"[['i', 'am', 'starting', 'to', 'think', 'you', 'are', 'serious']]","[['i', 'am', 'beginning', 'to', 'think', 'you', 'are', 'serious']]"
I'm not above him either.,"I am not taller than he, either.",Hallucination,i am not above him either,i am not taller than he either,['i am not above him either'],['i am not taller than he either'],"[['i', 'am', 'not', 'above', 'him', 'either']]","[['i', 'am', 'not', 'taller', 'than', 'he', 'either']]"
Why don't we try it again?,Why don't we just try doing it again?,Not Hallucination,why do not we try it again,why do not we just try doing it again,['why do not we try it again'],['why do not we just try doing it again'],"[['why', 'do', 'not', 'we', 'try', 'it', 'again']]","[['why', 'do', 'not', 'we', 'just', 'try', 'doing', 'it', 'again']]"
He had nothing to do yesterday.,He had nothing to do yesterday.,Not Hallucination,he had nothing to do yesterday,he had nothing to do yesterday,['he had nothing to do yesterday'],['he had nothing to do yesterday'],"[['he', 'had', 'nothing', 'to', 'do', 'yesterday']]","[['he', 'had', 'nothing', 'to', 'do', 'yesterday']]"
I can't hear you very well either.,I can't hear you very well either.,Not Hallucination,i cannot hear you very well either,i cannot hear you very well either,['i cannot hear you very well either'],['i cannot hear you very well either'],"[['i', 'can', 'not', 'hear', 'you', 'very', 'well', 'either']]","[['i', 'can', 'not', 'hear', 'you', 'very', 'well', 'either']]"
She tried not to disturb Mary.,Tom tried not to bother Mary.,Hallucination,she tried not to disturb mary,tom tried not to bother mary,['she tried not to disturb mary'],['tom tried not to bother mary'],"[['she', 'tried', 'not', 'to', 'disturb', 'mary']]","[['tom', 'tried', 'not', 'to', 'bother', 'mary']]"
What time are we leaving?,What time are we leaving?,Not Hallucination,what time are we leaving,what time are we leaving,['what time are we leaving'],['what time are we leaving'],"[['what', 'time', 'are', 'we', 'leaving']]","[['what', 'time', 'are', 'we', 'leaving']]"
What do you know?,What's that you're singing?,Hallucination,what do you know,what is that you are singing,['what do you know'],['what is that you are singing'],"[['what', 'do', 'you', 'know']]","[['what', 'is', 'that', 'you', 'are', 'singing']]"
What is your favorite concert venue?,What is your favourite music venue?,Hallucination,what is your favorite concert venue,what is your favourite music venue,['what is your favorite concert venue'],['what is your favourite music venue'],"[['what', 'is', 'your', 'favorite', 'concert', 'venue']]","[['what', 'is', 'your', 'favourite', 'music', 'venue']]"
I was afraid I would never see him again.,I was afraid I'd never see him again.,Not Hallucination,i was afraid i would never see him again,i was afraid i would never see him again,['i was afraid i would never see him again'],['i was afraid i would never see him again'],"[['i', 'was', 'afraid', 'i', 'would', 'never', 'see', 'him', 'again']]","[['i', 'was', 'afraid', 'i', 'would', 'never', 'see', 'him', 'again']]"
They do it because we let them.,They do it because we allow them to do it.,Not Hallucination,they do it because we let them,they do it because we allow them to do it,['they do it because we let them'],['they do it because we allow them to do it'],"[['they', 'do', 'it', 'because', 'we', 'let', 'them']]","[['they', 'do', 'it', 'because', 'we', 'allow', 'them', 'to', 'do', 'it']]"
"I am writing a tokypon book that already contains 7,700 proposals but is still under consideration.","I'm writing a book in Toki Pona that already contains 7700 sentences, but it's still under review.",Hallucination,i am writing a tokypon book that already contains 7700 proposals but is still under consideration,i am writing a book in toki pona that already contains 7700 sentences but it is still under review,['i am writing a tokypon book that already contains 7700 proposals but is still under consideration'],['i am writing a book in toki pona that already contains 7700 sentences but it is still under review'],"[['i', 'am', 'writing', 'a', 'tokypon', 'book', 'that', 'already', 'contains', '7700', 'proposals', 'but', 'is', 'still', 'under', 'consideration']]","[['i', 'am', 'writing', 'a', 'book', 'in', 'toki', 'pona', 'that', 'already', 'contains', '7700', 'sentences', 'but', 'it', 'is', 'still', 'under', 'review']]"
I wonder why Tom needs it.,I wonder why Tom wants that.,Not Hallucination,i wonder why tom needs it,i wonder why tom wants that,['i wonder why tom needs it'],['i wonder why tom wants that'],"[['i', 'wonder', 'why', 'tom', 'needs', 'it']]","[['i', 'wonder', 'why', 'tom', 'wants', 'that']]"
Everyone stopped to see what had happened.,Everybody stopped to see what had happened.,Not Hallucination,everyone stopped to see what had happened,everybody stopped to see what had happened,['everyone stopped to see what had happened'],['everybody stopped to see what had happened'],"[['everyone', 'stopped', 'to', 'see', 'what', 'had', 'happened']]","[['everybody', 'stopped', 'to', 'see', 'what', 'had', 'happened']]"
Tom will fix it.,Tom will fix it.,Not Hallucination,tom will fix it,tom will fix it,['tom will fix it'],['tom will fix it'],"[['tom', 'will', 'fix', 'it']]","[['tom', 'will', 'fix', 'it']]"
Do you like translating?,Do you like translating?,Not Hallucination,do you like translating,do you like translating,['do you like translating'],['do you like translating'],"[['do', 'you', 'like', 'translating']]","[['do', 'you', 'like', 'translating']]"
I knew I had to marry him.,I knew I should've married him.,Not Hallucination,i knew i had to marry him,i knew i should have married him,['i knew i had to marry him'],['i knew i should have married him'],"[['i', 'knew', 'i', 'had', 'to', 'marry', 'him']]","[['i', 'knew', 'i', 'should', 'have', 'married', 'him']]"
We have a good school library.,We have a nice school library.,Not Hallucination,we have a good school library,we have a nice school library,['we have a good school library'],['we have a nice school library'],"[['we', 'have', 'a', 'good', 'school', 'library']]","[['we', 'have', 'a', 'nice', 'school', 'library']]"
Good thing you didn't go.,It was good you didn't go.,Not Hallucination,good thing you did not go,it was good you did not go,['good thing you did not go'],['it was good you did not go'],"[['good', 'thing', 'you', 'did', 'not', 'go']]","[['it', 'was', 'good', 'you', 'did', 'not', 'go']]"
What are you gonna tell me now?,What are you going to tell me now?,Not Hallucination,what are you going to tell me now,what are you going to tell me now,['what are you going to tell me now'],['what are you going to tell me now'],"[['what', 'are', 'you', 'going', 'to', 'tell', 'me', 'now']]","[['what', 'are', 'you', 'going', 'to', 'tell', 'me', 'now']]"
Is that sarcasm?,Is that sarcasm?,Not Hallucination,is that sarcasm,is that sarcasm,['is that sarcasm'],['is that sarcasm'],"[['is', 'that', 'sarcasm']]","[['is', 'that', 'sarcasm']]"
Tom thought Mary probably wouldn't give up French.,Tom thought Mary would probably fail her French test.,Hallucination,tom thought mary probably would not give up french,tom thought mary would probably fail her french test,['tom thought mary probably would not give up french'],['tom thought mary would probably fail her french test'],"[['tom', 'thought', 'mary', 'probably', 'would', 'not', 'give', 'up', 'french']]","[['tom', 'thought', 'mary', 'would', 'probably', 'fail', 'her', 'french', 'test']]"
I know it's impossible.,I know it's not possible.,Not Hallucination,i know it is impossible,i know it is not possible,['i know it is impossible'],['i know it is not possible'],"[['i', 'know', 'it', 'is', 'impossible']]","[['i', 'know', 'it', 'is', 'not', 'possible']]"
You're so rude!,You're so rude.,Not Hallucination,you are so rude,you are so rude,['you are so rude'],['you are so rude'],"[['you', 'are', 'so', 'rude']]","[['you', 'are', 'so', 'rude']]"
I can't meet Tom at the airport.,I won't be able to pick up Tom at the airport.,Not Hallucination,i cannot meet tom at the airport,i will not be able to pick up tom at the airport,['i cannot meet tom at the airport'],['i will not be able to pick up tom at the airport'],"[['i', 'can', 'not', 'meet', 'tom', 'at', 'the', 'airport']]","[['i', 'will', 'not', 'be', 'able', 'to', 'pick', 'up', 'tom', 'at', 'the', 'airport']]"
We already told Tom what happened.,We've already told Tom about what happened.,Not Hallucination,we already told tom what happened,we have already told tom about what happened,['we already told tom what happened'],['we have already told tom about what happened'],"[['we', 'already', 'told', 'tom', 'what', 'happened']]","[['we', 'have', 'already', 'told', 'tom', 'about', 'what', 'happened']]"
"95 years old, God save the Queen!",95 years old! God Save the Queen!,Not Hallucination,95 years old god save the queen,95 years old god save the queen,['95 years old god save the queen'],['95 years old god save the queen'],"[['95', 'years', 'old', 'god', 'save', 'the', 'queen']]","[['95', 'years', 'old', 'god', 'save', 'the', 'queen']]"
Who invented the typewriter?,Who invented the typewriter?,Not Hallucination,who invented the typewriter,who invented the typewriter,['who invented the typewriter'],['who invented the typewriter'],"[['who', 'invented', 'the', 'typewriter']]","[['who', 'invented', 'the', 'typewriter']]"
"When you leave, do not forget to turn off the light everywhere.","When you leave, make sure you've turned off all the lights.",Not Hallucination,when you leave do not forget to turn off the light everywhere,when you leave make sure you have turned off all the lights,['when you leave do not forget to turn off the light everywhere'],['when you leave make sure you have turned off all the lights'],"[['when', 'you', 'leave', 'do', 'not', 'forget', 'to', 'turn', 'off', 'the', 'light', 'everywhere']]","[['when', 'you', 'leave', 'make', 'sure', 'you', 'have', 'turned', 'off', 'all', 'the', 'lights']]"
Please come up here and sit down at this table.,"Please step up here, then sit on this table.",Not Hallucination,please come up here and sit down at this table,please step up here then sit on this table,['please come up here and sit down at this table'],['please step up here then sit on this table'],"[['please', 'come', 'up', 'here', 'and', 'sit', 'down', 'at', 'this', 'table']]","[['please', 'step', 'up', 'here', 'then', 'sit', 'on', 'this', 'table']]"
Do you know how Tom got inside?,Do you know how Tom got in?,Not Hallucination,do you know how tom got inside,do you know how tom got in,['do you know how tom got inside'],['do you know how tom got in'],"[['do', 'you', 'know', 'how', 'tom', 'got', 'inside']]","[['do', 'you', 'know', 'how', 'tom', 'got', 'in']]"
He is not a feminist.,He's not a feminist.,Not Hallucination,he is not a feminist,he is not a feminist,['he is not a feminist'],['he is not a feminist'],"[['he', 'is', 'not', 'a', 'feminist']]","[['he', 'is', 'not', 'a', 'feminist']]"
